,Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,breakdown
0,0,0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['What are the actions of the first person in the video?', 'What are the actions of the second person in the video?', 'What is the action of the last person in the video?', 'How do the actions of the first person compare to the actions of the second person?', 'How does the action of the last person differ from the actions of the first two people?']"
1,1,0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['What are the actions of the last person in the video?', 'What are the actions of the first person in the video?', 'What are the actions of the second person in the video?', 'What are the actions of any additional individuals in the video?', 'How do the actions of the last person compare to the actions of the other individuals?']"
2,2,0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['Is the last person holding a bottle?', 'Is the last person using a knife?', 'What method is the last person using to open the bottle?', 'Is the bottle open or closed after the last person attempts to open it?', 'Are there any visible tools or objects near the last person that could be used to open the bottle?']"
3,3,0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"['Did the last person open the bottle with a knife?', 'Did the first person attempt to open the bottle?', 'Did the second person attempt to open the bottle?', 'What methods did the first two people use to try to open the bottle?', 'What was the outcome of the attempts made by the first two people?']"
4,4,0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"['What method does the last person use to open the bottle?', 'What method do the first two people use to open the bottle?', 'Is the method used by the last person different from the methods used by the first two people?', 'What tools or objects are used by each person to open the bottle?']"
5,5,0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"['How many robot figures are present in the video?', 'What are the characteristics of each robot figure?', 'Are there any scenes where the robot figures are prominently displayed?', 'Is there any counting or enumeration of robot figures shown in the video?', 'Are there any interactions between the robot figures and other elements in the video?']"
6,6,0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"['How many robot figures are present in the video?', 'Are there any scenes in the video that show multiple robot figures at once?', 'Is there any indication of the same robot figure being counted multiple times?', 'What is the context or setting of the video that might affect the count of robot figures?']"
7,7,0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"['How many robot figures are displayed in the video?', 'Are all the robot figures distinct from one another?', 'Is there any moment in the video where a robot figure is obscured or not visible?', 'What is the total count of robot figures at any given moment in the video?']"
8,8,0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"['How many robot figures are present in the video?', 'What are the characteristics of each robot figure shown?', 'Are there any scenes in the video that show more than two robot figures?', 'Is there any indication of the presence of additional robot figures in the background or other frames?']"
9,9,0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,"['How many robot figures are visible in the video?', 'Are there any distinguishing features of the robot figures?', 'Is there any text or labels indicating the number of robot figures?', 'Are there any scenes showing the robot figures together or separately?', 'Is there a moment in the video where the total number of robot figures is explicitly stated?']"
10,10,0016-0,4mKxze5P9gQ,Primary Open-ended Question,Element Attributes (Optical Illusion),Which direction is the person facing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,Which direction is the person facing? Please state your answer with a brief explanation.
11,11,0016-1,4mKxze5P9gQ,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In which directions is the person looking?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"['What is the position of the person in the image?', 'What are the facial features of the person?', ""What is the orientation of the person's head?"", 'Are there any objects or landmarks in the background that indicate direction?', ""Is there any indication of the person's gaze direction (e.g., eye movement, line of sight)?""]"
12,12,0016-2,4mKxze5P9gQ,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing both sideways and forward due to photo editing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"['Is the person facing forward in the image?', 'Is the person facing sideways in the image?', 'Are there any signs of photo editing in the image?', 'What visual cues indicate photo editing, if any?', 'Are there any inconsistencies in the person’s orientation or position?']"
13,13,0016-3,4mKxze5P9gQ,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing forward because of the symmetry of the shoulders?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"['What is the position of the person in relation to the camera?', 'What is the appearance of the shoulders of the person?', 'Is there any visible asymmetry in the shoulders?', 'What is the overall posture of the person?', 'Are there any other indicators of the person’s orientation or direction?']"
14,14,0016-7,4mKxze5P9gQ,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"Which direction is the person facing?
A. To the right
B. right and forward
C. left and forward
D. To the left",15.06,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/4mKxze5P9gQ,"['What is the orientation of the person in the video?', 'Is the person facing directly to the right?', 'Is the person facing both right and forward?', 'Is the person facing both left and forward?', 'Is the person facing directly to the left?', 'Are there any other orientations that the person could be facing?']"
15,15,0036-0,1SiTuYb506o,Primary Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Why can the apparently slow spinning machine cut the zucchini so thinly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"['What is the appearance and speed of the spinning machine?', 'What is the mechanism or design of the spinning machine?', 'How does the spinning machine interact with the zucchini?', 'What are the characteristics of the zucchini being cut?', 'What is the thickness of the slices produced by the machine?', 'Are there any specific features of the machine that enhance its cutting ability?']"
16,16,0036-1,1SiTuYb506o,Paraphrased Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),How does the machine manage to slice the zucchini so thinly despite appearing to spin slowly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"['What is the design of the machine used for slicing the zucchini?', 'How does the slicing mechanism of the machine work?', 'What is the speed of the blade or cutting element in the machine?', 'What is the relationship between the machine’s spinning speed and the thickness of the slices?', 'Are there any specific features of the machine that enhance its slicing capability?', 'What materials are used for the blade or cutting element of the machine?']"
17,17,0036-2,1SiTuYb506o,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the reason the machine cuts the zucchini so thinly because the blades are spinning at a high speed, creating a stroboscopic effect?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o,"['What is the speed of the blades in the machine?', 'What is the thickness of the zucchini slices produced by the machine?', 'What is a stroboscopic effect and how does it relate to high-speed motion?', 'Are there any visual indicators of the blades spinning at high speed?', 'Is there any evidence or explanation provided that connects blade speed to the thickness of the zucchini slices?']"
