Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,breakdown
0,0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,```python [ 'What are the actions of the first person in the video?', 'What are the actions of the second person in the video?', 'What is the action of the last person in the video?', 'How do the actions of the first person compare to the actions of the second person?', 'How does the action of the last person differ from the actions of the first two people?' ] ```
[
    'What are the actions of the first person in the video?',
    'What are the actions of the second person in the video?',
    'What is the action of the last person in the video?',
    'How do the actions of the first person compare to the actions of the second person?',
    'How does the action of the last person differ from the actions of the first two people?'
]
```"
1,0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What are the actions of the last person in the video?',
    'What are the actions of the first person in the video?',
    'What are the actions of the second person in the video?',
    'What are the actions of any additional individuals in the video?',
    'How do the actions of the last person compare to the actions of the other individuals?'
]
```"
2,0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'Is the last person attempting to open the bottle?', 
    'What tools or objects is the last person using to open the bottle?', 
    'Is there a knife present in the scene?', 
    'What is the method used by the last person to open the bottle?', 
    'Are there any visible signs that the bottle has been opened?'
]
```"
3,0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'Did the last person in the video open the bottle with a knife?', 
    'Did the first person attempt to open the bottle?', 
    'Did the second person attempt to open the bottle?', 
    'What methods did the first two people use to try to open the bottle?', 
    'What was the outcome of the attempts made by the first two people?'
]
```"
4,0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    ""What tool does the last person use to open the bottle?"",
    ""What tool do the first two people use to open the bottle?"",
    ""Is the tool used by the last person different from the tools used by the first two people?"",
    ""What are the specific types of tools used by the first two people?"",
    ""What is the specific type of tool used by the last person?""
]
```"
5,0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    ""How many robot figures are present in the video?"",
    ""What are the characteristics of each robot figure?"",
    ""Are there any scenes where the robot figures are prominently displayed?"",
    ""Is there any counting or enumeration of the robot figures in the video?"",
    ""Are there any visual cues that indicate the presence of robot figures?""
]
```"
6,0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are present in the video?',
    'Are there any scenes showing multiple robot figures together?',
    'Is there any indication of robot figures being counted or referenced in the video?',
    'Are there any visual cues or labels that indicate the number of robot figures?'
]
```"
7,0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are displayed in the video?',
    'Are there any other objects or figures present in the video besides the robots?',
    'Are the robot figures clearly distinguishable from one another?',
    'Is there any indication of the total number of robot figures in the video?'
]
```"
8,0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are present in the video?',
    'What are the characteristics of each robot figure shown?',
    'Are there any scenes in the video that show more than two robot figures?',
    'Is there any indication of the presence of additional robot figures in the background or other frames?'
]
```"
9,0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are present in the video?',
    'Are there any visible robot figures in the video?',
    'What is the total count of distinct robot figures shown in the video?'
]
```"
10,0016-0,4mKxze5P9gQ,Primary Open-ended Question,Element Attributes (Optical Illusion),Which direction is the person facing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'What is the position of the person in the image?',
    'What objects or landmarks are present in the background?',
    'What is the orientation of the person\'s body?',
    'Are there any indicators of direction, such as shadows or light sources?',
    'What is the facial expression or gaze direction of the person?'
]
```"
11,0016-1,4mKxze5P9gQ,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In which directions is the person looking?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'How many people are present in the image?',
    'What are the positions of the people in the image?',
    'What is the orientation of each person\'s head or body?',
    'Are there any objects or landmarks in the image that indicate direction?',
    'Is there any context or background that suggests where the person might be looking?'
]
```"
12,0016-2,4mKxze5P9gQ,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing both sideways and forward due to photo editing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'Is the person facing forward in the image?',
    'Is the person facing sideways in the image?',
    'Are there any signs of photo editing in the image?',
    'What visual cues indicate photo editing, if any?',
    'Are there any inconsistencies in the lighting or shadows that suggest editing?'
]
```"
