video_name,answer,question
v_LvaU_4xbxb0,One of the girls is wearing a black vest and the other is wearing a grey t-shirt while boxing in the well-lit gym.,Can you describe the attire of the two girls boxing in the gym?
v_l_0HvMt2tGg,"The video features the boy playing lacrosse, wearing a red and white jersey, and using a lacrosse stick.",What sport is being played in the video?
v_ZVjLscGMOs8,The women are wearing white vests and track pants while working out on aerobics steps in a dimly lit studio with black floor.,Can you describe the clothing worn by the women while working out in the video?
v_Ws12Dt0Ny5Q,"The female athlete in the stadium is wearing a red crop top, red bikini bottoms, and red sports shoes.",Can you describe what the female athlete is wearing in the stadium?
v_9eniCub7u60,"Yes, there is a door visible on the back right side of the room and a few photo frames hanging on the wall.",Is there a visible door and photo frames on the back wall?
v_15yU0R2MBQM,The toothbrush featured in the video is blue.,What color is the toothbrush in the video?
v_-IMXSEIabMM,The people in the beginning of the video are wearing winter clothes and shoveling snow around a car parked in front of a garage in the daytime.,What are the people in the beginning of the video doing?
v_325CAs4hhq8,The players in orange uniforms are playing field hockey.,Can you describe the game played by the players in orange uniforms on the field?
v_Nvf-BZNEGdI,"The people around the boy are standing and wearing roller skates, and the skating rink has a well-lit polished wood floor.",What are the people around the boy doing?
v_dO01vfB9z4g,"The boy is scrubbing dishes in the kitchen sink while standing on a box, and a woman records him with her phone.",Can you describe the scene in the video where the boy is present?
v_AL1W3HkjJ2Y,The woman is wearing black trousers and a black top while holding a bow with a quiver full of arrows.,What is the color of the woman's outfit in the video?
v_IRua6QGP-Ow,"The bartender is making a drink by pouring and mixing different spirits, shaking them with ice, and finally pouring the mixture into a glass with ice. He also runs a lime on the rim of the glass.",Can you describe the process the bartender follows to make a drink?
v_d6PdD2O3Yrs,The boy in black tights is practicing gymnastics by balancing and swinging on horizontal bars in the well-lit gymnasium.,"Can you describe the activity in which the boy is engaged, in the gymnasium?"
v_-HpCLXdtcas,The barbell in front of the man has multi-colored weights on it.,Can you describe the appearance of the weights on the barbell?
v_JDwd6Ec454A,The rabbit has a reddish coat with dark brown highlights and is grooming himself in a wooden box with a mesh floor. A person reaches in and pets the rabbit.,Describe the setting of the video and what action takes place with the rabbit?
