,Unnamed: 0,qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,breakdown,answers
0,0,0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What are the actions of the first person in the video?',
    'What are the actions of the second person in the video?',
    'What is the action of the last person in the video?',
    'How do the actions of the first person compare to the actions of the second person?',
    'How does the action of the last person differ from the actions of the first two people?'
]
```","['The first person in the video is holding a bottle of beer and appears to be in an outdoor setting, possibly at a bus stop or similar location. The second person in the video is sitting indoors, holding a knife and a Coca-Cola bottle, and seems to be performing a trick or demonstration. The last person in the video is not shown, so there is no action to describe for them. The actions of the first person and the second person are different; the first person is holding a beer and standing outdoors, while the second person is indoors and performing a trick with a knife and a Coca-Cola bottle. The action of the last person is not described, so it cannot be compared to the actions of the first two people.']"
1,1,0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'What are the actions of the last person in the video?',
    'What are the actions of the first person in the video?',
    'What are the actions of the second person in the video?',
    'What are the actions of any additional individuals in the video?',
    'How do the actions of the last person compare to the actions of the other individuals?'
]
```","['The last person in the video is holding a Coca-Cola bottle and appears to be about to open it with a knife, making a gesture with their hand. The first person in the video is sitting at a table, holding a bottle of beer and looking at it. The second person in the video is also sitting at a table, holding a Coca-Cola bottle and making a gesture with their hand. There are no additional individuals in the video. The actions of the last person, who is about to open a Coca-Cola bottle with a knife, are different from the actions of the first and second persons, who are simply holding and looking at their respective bottles.']"
2,2,0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'Is the last person holding a bottle?',
    'Is the last person using a knife?',
    'What method is the last person using to open the bottle?',
    'Is the bottle open or closed after the last person attempts to open it?',
    'Are there any visible tools or objects near the last person that could be used to open the bottle?'
]
```","['No, the last person is not holding a bottle, No, the last person is not using a knife, The last person is attempting to open the bottle with their hand, The bottle is closed after the last person attempts to open it, Yes, there is a knife on the table near the last person that could be used to open the bottle.']"
3,3,0008-3,sj81PWrerDk,Wrongly-led Open-ended Question,Plot Attribute (Montage),Did the last person in the video open the bottle with a knife while the first two people failed in their attempts?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    'Did the last person open the bottle with a knife?', 
    'Did the first person attempt to open the bottle?', 
    'Did the second person attempt to open the bottle?', 
    'What methods did the first two people use to try to open the bottle?', 
    'What was the outcome of the attempts made by the first two people?'
]
```","['No, No, Yes, They used a knife and a spoon respectively, The first person failed to open the bottle, the second person successfully opened the bottle with a knife.']"
4,4,0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,"```python
[
    ""What method does the last person use to open the bottle?"",
    ""What method do the first two people use to open the bottle?"",
    ""Is the method used by the last person different from the methods used by the first two people?"",
    ""What tools or objects are used by each person to open the bottle?""
]
```","['knife, hand, yes, knife, hand, none']"
5,5,0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    ""How many robot figures are present in the video?"",
    ""What are the characteristics of each robot figure?"",
    ""Are there any scenes where the robot figures are prominently displayed?"",
    ""Is there any counting or enumeration of robot figures shown in the video?"",
    ""Are there any interactions between the robot figures and other elements in the video?""
]
```","['Four, Each robot figure has a unique design with different colors and patterns, Yes, There are scenes where the robot figures are prominently displayed, No, There is no counting or enumeration of robot figures shown in the video, No, There are no interactions between the robot figures and other elements in the video.']"
6,6,0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are present in the video?',
    'Are there any scenes in the video that show multiple robot figures at once?',
    'Is there any indication of the same robot figure being counted multiple times?',
    'What is the context or setting of the video that might affect the count of robot figures?'
]
```","['Four, Yes, No, The video appears to be set in an exhibition or event where robot figures are on display, which could affect the count if the figures are part of a larger exhibit.']"
7,7,0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are displayed in the video?',
    'Are all the robot figures distinct from one another?',
    'Is there any moment in the video where a robot figure is obscured or not visible?',
    'What is the total count of robot figures at any given moment in the video?'
]
```","['Four, Yes, No, Four']"
8,8,0012-3,AGCyLqLuUJ0,Wrongly-led Open-ended Question,Element Counting,Are there only two robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    'How many robot figures are present in the video?',
    'What are the characteristics of each robot figure shown?',
    'Are there any scenes in the video that show more than two robot figures?',
    'Is there any indication of the presence of additional robot figures in the background or other frames?'
]
```","['Four, The first robot figure is wearing a white and black outfit with a scarf, the second is in a black and white outfit with a helmet, the third is in a red and gold outfit with a helmet, the fourth is in a black and white outfit with a helmet; Yes, there are scenes showing multiple robot figures together; Yes, there are indications of additional robot figures in the background and other frames.']"
9,9,0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0,"```python
[
    ""How many robot figures are visible in the video?"",
    ""Are there any distinguishing features of the robot figures?"",
    ""Is there any text or labels indicating the number of robot figures?"",
    ""Are there any scenes showing the robot figures together or separately?"",
    ""Is there a moment in the video where the total number of robot figures is explicitly stated?""
]
```","['Four, Yes, No, Yes, No']"
10,10,0016-0,4mKxze5P9gQ,Primary Open-ended Question,Element Attributes (Optical Illusion),Which direction is the person facing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,Which direction is the person facing? Please state your answer with a brief explanation.,['The person is facing to the right.']
11,11,0016-1,4mKxze5P9gQ,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In which directions is the person looking?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'What is the position of the person in the image?',
    'What are the facial features of the person?',
    'What is the orientation of the person\'s head?',
    'Are there any objects or landmarks in the background that indicate direction?',
    'Is there any indication of the person\'s gaze direction (e.g., eye movement, line of sight)?'
]
```","[""The person is in a side profile view, facing right, so their position is side-on. The facial features include a prominent nose and a goatee. The head is oriented to the right. There are no visible objects or landmarks in the background to indicate direction. The person's gaze direction is towards the right, as indicated by the positioning of the eyes and the angle of the head.""]"
12,12,0016-2,4mKxze5P9gQ,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing both sideways and forward due to photo editing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'Is the person facing forward in the image?',
    'Is the person facing sideways in the image?',
    'Are there any signs of photo editing in the image?',
    'What visual cues indicate photo editing, if any?',
    'Are there any inconsistencies in the person’s orientation or position?'
]
```","['No, Yes, Yes, The face appears to be distorted and not aligned with the body, indicating photo editing, Yes.']"
13,13,0016-3,4mKxze5P9gQ,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing forward because of the symmetry of the shoulders?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ,"```python
[
    'What is the position of the person in relation to the camera?',
    'What is the appearance of the shoulders of the person?',
    'Is there any visible asymmetry in the shoulders?',
    'What is the overall posture of the person?',
    'Are there any other indicators of the person’s orientation or direction?'
]
```","['The person is facing the camera, their shoulders are visible and appear to be level, there is no visible asymmetry in the shoulders, the overall posture is upright, and the direction of the head and shoulders indicates they are facing forward.']"
