video_name,question,answer
v_BmLDHLKiIdQ,What is the video about?,"The video is of an indoor archery competition between two players, wherein the contestants shoot arrows through compound bows with spectators seated in the stands. The winner celebrates and the runner-up congratulates him."
v_Xmp_twSbkAg,Can you describe the scene in the beginning of the video?,"The video starts with a girl in a well-lit room wearing a black T-shirt and a pink full-sleeve top. There is a brown door, a red curtain, a desktop on a study table along with books, a photo, and a stuffed toy. The left wall behind her has stickers and some boards, and there is a small blue table behind her. She puts her stuffed toy on the table and begins talking."
v_K_ia4VP3w2c,Can you describe the video in detail?,"In this video, a woman is seen introducing herself in a well-lit makeup studio while wearing a black top. There is a vanity table with bulbs around the mirror situated behind her. As the video progresses, the model 'Irina Shayk' is shown in a makeup session and photoshoot, while the makeup artist speaks. In another clip, the makeup artist holds an eyeshadow palette and starts applying makeup on Irina, beginning with different colors for her eyelids and moving on to her eyelashes. Later, the makeup artist changes Irina's lipstick and reapplies her eye makeup, before applying a different lip color. The video ends with a display of Irina with completed makeup, showcasing the work of the makeup artist."
v_UNXLfqkwKFc,Can you describe the video in detail?,"The video starts with a man wearing blue shorts standing in a well-lit room with white walls. To the left of the man is a glass table with golden stands that has photo frames on it. The man switches on the vacuum cleaner and hovers it over the dust on the floor. The sound of the vacuum cleaner is audible throughout the video. The camera focuses on the man as he completes the cleaning process and switches off the vacuum cleaner before moving out of the frame. Overall, the video is a simple demonstration of a man using a vacuum cleaner to clean the floor of a room."
v_1xBdquA6dx8,What is happening in the video on the hockey field?,"The video shows two teams of girls playing hockey, one wearing blue jerseys and the other wearing green jerseys, and one of the girls in the blue team with the number ten jersey is followed as she moves towards the goal and manages to score despite being intercepted by a player from the opposing team wearing a number nineteen jersey."
v_z-EPAHsmTMA,Can you describe the video in detail?,"The video starts with the camera panning to a TV in a dimly lit room. An advertisement is shown with a girl wearing a white outfit smearing her face with white foam using both hands. The channel momentarily changes to show a man with a phone receiver in his ear, before returning to the girl washing her face with water. She takes her time to carefully wash off all the foam using water."
v__ja1fre9OTE,What are the highlights of the gymnastics competition?,"The video shows a gymnast performing different moves such as a handstand, front flip, back flip, and balance poses. She finishes with a cartwheel and jumps off the balance beam."
v_s9PkkDEl6aY,What happens in the video?,"In the video, a Zumba class is being conducted in an indoor basketball court for children and the instructor leads the class with different moves and dances. The instructor is standing on a raised platform and wearing a green top and khaki pants. The video ends with the instructor walking down the platform after ending the class."
v_qqZLs6j3YII,What is the color of the uniforms worn by the children on the stage in the video?,The children are wearing red and white uniforms while playing guitars on the stage in the well-lit set with a purple background.
v_u0A5NIUKEQo,What costumes are the boys wearing and what are they doing in the mall?,"The boy wearing a Santa costume is carrying a huge box and the other boy is wearing an Elves costume. The boy wearing the Santa costume keeps the box on the floor and knocks the box, the other boy jumps out of the box and they two start dancing in the mall."
v_4oi6dXfpJS4,Can you describe the gymnastics routine in the video?,"The video takes place in a well-lit stadium with multiple levels of seats visible in the background occupied by people. A gymnast can be seen wearing a pink outfit mounting the balance beam with a front flip. She then proceeds to do several poses on the balance beam, including multiple backflips. While attempting to spin, she almost slips but quickly regains her balance. After running a few steps, she does a backflip and continues with several more poses. Unfortunately, she eventually loses her balance and jumps down before jumping back on the board to do a front flip. Finally, the video ends when she executes three backflips and lands gracefully on the ground."
v_eRco7yXc-40,Can you describe the video in detail?,"The video features a dimly lit swimming pool with lane ropes visible in the breadth of the pool several distances from the person on the diving board. The person performed several jumps on the diving board before jumping high and executing a reverse somersault dive into the pool. The dive was successful, and the person disappeared into the water with a ripple. "
v_mY7QdIn51S8,What is happening in the video?,"The video shows clips from different cricket matches played between different teams at various times of the day. The clips include instances of fielders getting the ball and using different ways to get the batsman out like catching the ball as the batsman hits it in the air, the bowler hitting the stumps to get the batsman out, and getting the batsman runout by fielders getting a hold of the ball. Pakistani and Indian cricket teams are also shown playing against each other, and a Pakistani bowler named Amir celebrates getting the batsman out during a daytime match by bumping into the batsman while running and celebrating. The video also shows a particular moment during the night where an Indian bowler is employing spin while delivering the ball, and the Pakistani batsman hits it for a six, which the spectators in the stands cheer for."
v_a_JlhLnJM98,What is the woman in the video demonstrating?,The woman in the video is demonstrating how to iron a men's cotton dress shirt while standing in a well-lit room with a window behind her. She starts by spraying starch on the shirt and then proceeds to iron the sleeves of the shirt. She finishes with ironing the ends of the sleeve.
v_WdJUMmy2ox8,Can you describe what happens in the video?,"In the video, two men are seen in a dark room seated on a sofa. One is smoking a hookah while the other is on his mobile phone. They exchange the pipe, smoke and blow smoke rings, and hold up their blackberries. Finally, the man on the right turns off the camera."
v_di5f5hM05Vw,What is the video about?,"The video primarily shows a man practicing Tai Chi movements in a well-lit indoor studio with light wood flooring and a mirror on the back wall, and a window on the right side wall covered in purple drapes. The man moves slowly and performs different Tai Chi stances until the end when he stops."
v_kfO5PGlsMJw,What type of clothing is the first boy wearing and what is his position on the stage?,The first boy is wearing a karate uniform and holding a stance on the stage.
v_ZxPF3s_OLDo,Can you describe the video in detail?,"The video starts with a man wearing a red t-shirt climbing a rocky hill during the daytime. He is wearing a belt with a chalk pouch on it. A tree can be seen past the hill and a green field with houses is visible on the ground. After climbing up, there is a panoramic view of the city with the buildings visible. The man then rappels down the hill using a rope and removing anchors as he descends. To his right, there is a yellow metal staircase attached to the hill. The video ends as the man reaches the bottom where a woman is belaying the rope."
v_4XnXyKYxnQQ,What is happening to the ship in the video?,The ship is tilted left and looks like it is about to capsize.
v_BdRH3lpopLQ,What happened to the team on the right during the volleyball game?,The team on the right passed the ball between themselves four times before passing it to the other team. The other team started celebrating before the game was won. The ball lands by them and they lose the game. The first team celebrates.
v__ja1fre9OTE,Can you describe the gymnastics competition that is shown in the video in detail?,"This video shows a gymnastics competition which begins with an overhead shot. A gymnast is seen next to a balance beam on an elevated platform, while judges sit at a table attached to the same platform. Some distance away, there is another platform perpendicular to the first one where people are sitting on chairs. On the left side, another group of judges sits behind a table. The gymnast mounts the balance beam and starts the competition with a handstand, followed by a front flip and back flip. She performs various balance poses, including turns, jumps, and leaps. Finally, she does a dismount with cartwheels and jumps off the balance wheel, poses, and walks off the stage. Two people holding video cameras can be seen recording the gymnast. The video provides an interesting perspective from the point of view of the spectators, and the different shots provide a detailed description of the competition."
v_tF8Nv-QxbIU,What type of shoes is the man cleaning in the video?,The man in the video is cleaning red suede shoes and dark blue high-heeled suede shoes using a suede block and suede brush.
v_B0GCHDqEsRU,Could you describe the video in detail?,"The video starts in front of a garage where a couple is dancing. The couple is surrounded by other people standing to the side. The setting is outdoors during the daytime, but there is no direct sunlight streaming down. On the left, there is a red truck that stretches all the way back towards the fence. Beyond the fence, there are woods visible. Towards the back of the scene, children are seen running around. A man is tending to a barbecue a few feet behind the dancing couple. The camera flashes intermittently, capturing the scene as the couple keeps dancing. Later in the video, another couple, with the man wearing a red jacket and cap joins in on the dancing. The video ends with the couples continuing to dance. Overall, the video depicts an outdoor gathering of people at an open space outside a garage, dancing and enjoying barbecue."
v_qmHjHk0Hzz8,Can you describe the video in detail?,"In the video, a shirtless man wearing black shorts is seen standing in a throwing circle which is inside a practice net. The throwing circle is located in a field during the daytime, and in the distance, a tall pole with floodlights facing toward the field is visible. The man begins to spin a few times in place and then throws his discus with a great force. "
v_IRua6QGP-Ow,Can you describe in detail what happens in the video?,"The video is a demonstration of a bartender making a cocktail. The bartender is standing behind a well-lit bar with bottles of drinks behind him on shelves. He is wearing a black vest and tie over a white shirt. Using a jigger, he measures quantities of various spirits, mixes them with a tea whisk, then strains them into a mixer with a tea strainer. After tasting, he adds ice cubes to the mixer and shakes it. Lastly, he strains the mixture through a tea strainer into a glass with ice cubes and runs a lime on the rim of the glass before serving."
v_WCS8dzRT7Xk,What color shirt is the woman wearing and what is she doing in the video?,The woman is wearing a grey shirt and she is ironing a green piece of clothing on an ironing board.
v_325CAs4hhq8,Can you describe the video in detail?,"The video starts with players wearing orange uniforms playing field hockey on a hockey field. In the next clip, several players are present on the field, leaning forward and anticipating a player to hit the ball. In the following clip, several girls from other teams are introduced and individual players are speaking into the camera. Then a coach is seen instructing players. The next few clips are of players standing on the field and getting instructions while individual players are being interviewed. A still photo of a team is shown. In the next clip, a play is shown with players on the field chasing a ball, and two teams are visible. The coach is speaking into the camera during the game. The video ends with a goal in the game by a player in an orange uniform."
v_hFi6S_guB7I,What movements do the women make as the music starts?,"As the music starts, the women slowly turn around and begin belly dancing."
v_zRqJZ0u6f88,What is happening in the video?,"In the video, a man wearing a red shirt and trousers and holding a tool belt is standing by a window in a dimly lit room. He speaks to the camera, gestures towards the window and then cleans it using a spray bottle and a cloth while parked cars and a house across the street are visible."
v_mShp2gzuPOM,Can you describe the content of the video in detail?,"The video shows a badminton game being played on a court in a gym. At the beginning of the video, the shot is blurry, but it becomes clearer to reveal the badminton court and its surroundings. The player wearing a green top is shown walking to the court to start playing. The gym is brightly lit with overhead lights, and there are people standing on the edges of the court. A woman with a camera is sitting near the netting on the left pole, taking pictures of the girl playing. There is a scoreboard on the top of the wall in the back of the gym, and an American flag is hung vertically on the wall. There are bleachers to the left that are retracted to the wall. The game starts with the girl in the green top serving, and the player at the far end drops the shuttle. The game restarts with the girl in the green top serving again. The players continue to play, making hits and misses, and a girl is visible sitting on the right end of the net. The video ends with the player in the green t-shirt serving, and the player at the other end hitting the shuttle into the net. Then, the two players shake hands and walk away."
v_EZyLBq2jJtE,Can you describe the video in detail?,"The video starts in a well-lit room with white walls and a woman seated on a chair wearing a red shirt, black & purple track pants, and white sports shoes. Her name is Bethany and she proceeds to shave her legs with a razor while talking to the cameraman. A woman enters the room through an open door on the left and shows some papers to Bethany before leaving. Bethany then stands up and strikes a pose, with a woman in a grey top and glasses standing behind her. The room contains a sofa, printer, wall clock, landline phone, and documents on the shelf. Bethany finishes by skipping out of frame and the video fades to black. The video begins and ends with black screens, with the text ""REALLY BETHANY Shaving Your Legs In My Office…REALLY?"" shown at the start. Overall, the video depicts the act of Bethany shaving her legs in an office setting and featuring a brief interaction with another woman."
v_fM5egP_1DvQ,What is the color of the vest the man who won the gold medal is wearing?,The man who won the gold medal is wearing a dark blue T-shirt.
v_sbnF7VVeopM,Can you describe the video in detail?,"The video starts with text on the screen, after which a person wearing a chef's uniform is shown in a well-lit washing area wearing rubber gloves and washing dishes over a counter. To the right of the person, a basket with plates stacked in it can be seen, while a white can is placed near the wall to their left. The person washes a plate with steel wool and uses a handheld kitchen faucet sprayer to rinse it before stacking it with the others on their right. The following clip shows a montage of stock footage such as people crossing the street during the daytime, a person in a dimly lit workshop welding something and a monster truck driving through a muddy track. The video ends with a clip of cars moving through traffic during the day."
v_ijrjRNwZjqQ,What do Kevin Spacey and Rafael Nadal do at the beginning of the video?,"At the beginning of the video, Kevin Spacey and Rafael Nadal appear on the stage wearing tuxedos and interacting with each other."
v_fh21bbDSVmA,What is the gymnast wearing in the video and where is he performing?,"In the video, the gymnast is wearing blue track pants and a white vest with blue and red stripes. He is performing on a pommel horse in a well-lit arena with blue walls and blue chairs."
v_NvRH4SoF09c,What is the man wearing in the video?,"The man is wearing a black shirt and pants, and glasses."
v_AwgGYaV1lT0,What objects are visible behind or around the man?,"There are trailers, a truck, a tent, a bike, a foldable table with chairs, and a log placed upright in front of the man."
v_ks018ZYzrx4,Can you describe the main events in the video?,"The video showcases a montage from inside a camper van passing through different locations, a boy pushing a dirt bike, an indoor dirt biking arena filled with spectators and with bikes parked at near end of the arena, people preparing berms, various scenes from the arena, two boys riding a dirt bike and doing doughnuts and kids racing in the dirt bike arena."
v_TKgU9QJXw2w,What caused the boy in the grey t-shirt and black pants to hit the ball towards the wall in the racquetball court?,The boy in the grey t-shirt and black pants hit the ball towards the wall to start the game.
v_BFChXuwZ4wo,Can you describe the video in detail?,"The video follows two women as they enter a tattoo parlor. Inside, there are various types of equipment and pictures on the wall. One of the women goes to the tattoo artist to get a stencil on her wrist. The tattoo artist is wearing a white shirt and glasses. A close-up of the stencil is shown and the girl is seen standing in front of the mirror, examining the stencil. In the next clip, the tattoo artist starts to clean the area and dips the needle in the ink to start tattooing. A close-up is also shown of this process with blood visible. Once the tattoo is complete, the girl holds it up to the camera and walks out of the tattoo parlor while the cameraman turns the camera towards himself and another girl standing next to him."
v_HURRgbZGz8Q,"What is the object being thrown in the video, and what do the athletes do?","The athletes are participating in a spear-throw competition, where they run and throw spears. The landing of the spears is shown, and there are lanes marked with numbers at their heads in the landing area. Additionally, the camera follows the thrown spear to its destination and the athletes' names and throw distances are recorded on a scoreboard at the end of the video."
v_0DFz3sgfda0,What are some of the ingredients that the girls put in the salad in the video?,"Some of the ingredients that the girls put in the salad in the video include lettuce, tomatoes, cabbage, and peanuts. They also added oil and salt to the salad."
v_wh4JNeQh9FQ,What is the technician doing with the tattoo gun?,The technician is tattooing the girl's earlobe with the tattoo gun.
v_tF8Nv-QxbIU,Can you describe what happens in the video in detail?,"In the video, a man dressed in a green t-shirt and khaki trousers is seen standing inside a well-lit shoe maker’s shop. He is standing behind a wooden counter which has shoes on them, while shelves behind him hold various shoe repair kits. There are also a few shoe brushes on the counter. The man picks up a suede block and a suede brush and shows them to the camera, before proceeding to clean a pair of red suede shoes. He vigorously rubs them with the brush. Later, he picks up a dark blue high-heeled suede shoe and brushes it with the suede brush."
v_83f0iwb8VW8,Can you describe the video in detail?,"In the video, there are two men sparring in a dojo wearing protective gear. The floor is covered with blue and red carpet and there is a poster with a skull and words ""THE CHOSEN FEW"" on the wall behind them. One of the men is wearing all black and the other is wearing a red headgear. As they spar, they move around the dojo, trying different moves and techniques. In the background, there are people sitting with their backs to the wall. A man in a red t-shirt is seen walking across the camera, who appears to be instructing the boxers. The man wearing black is trying to kick and punch the other boxer, while the man in the red t-shirt is moving around observing them. The two men move towards a mirror wall as they spar. Finally, the video ends as they stop sparring."
v_LvaU_4xbxb0,Who is giving instructions to the two girls boxing in the gym?,The two girls are following instructions from an instructor who is outside the frame.
v_CTyvQHkAKuY,Can you describe the video in detail?,"The video features a man in an olive suit playing piano while people stand around the hall listening to him. The hall is illuminated by overhead lights. A woman wears a scarf and walks up to the man to speak to him briefly, and a man in a black jacket dances near the far wall. As soon as the woman starts to sing while the man plays the piano, a man in a white jacket walks behind and to the right of her, and a man in a red shirt holds a coffee cup near the wall to her left. People look at the dancing man and cheer. After he finishes dancing, the video continues with the man playing the piano and the woman singing. The video concludes with both the man and woman completing their performance, and the man getting up to hug the woman."
v__ja1fre9OTE,What types of movements did the gymnast perform on the balance beam?,"The gymnast performed a handstand, a front flip, a back flip, different balance poses, turns, jumps, and leaps on the balance beam."
v_Hy54nZSDxTk,What is the color of the shirt worn by a person in the video?,A person wearing an orange shirt is visible in the video.
v_dRF1C_sBE5M,What is happening in the beginning of the video?,A man wearing a green jacket is standing near a Dodge truck while trying to dislodge an axe stuck in a log. A dog is standing next to the man. A man in a t-shirt and khaki pants walks to the back of the truck with a bottle of beer.
v_j6OcN4OQZVM,Can you describe the outfits worn by the breakdancers in the video?,The breakdancers in the video are all seen wearing black outfits while performing their moves.
v_15yU0R2MBQM,What is the girl wearing while brushing her teeth in the video?,The girl is wearing a white t-shirt while brushing her teeth in the video.
v_Zhx6BYVb64g,What is the sequence of events that the boy plays the violin in different locations?,"The boy wearing a white t-shirt and glasses starts playing the violin with text on a black screen in the background. Then the video shifts to a dimly lit room where the boy is wearing a grey shirt and sunglasses and walking through the room and house as he plays. Other people join him as he walks. The clip changes again as he is shown sitting on a couch, then getting up and leaving, before returning wearing a grey shirt and sunglasses and taking selfies with a girl. Cutaways of the boy playing the violin are shown in between shots. Another boy, wearing a black t-shirt, joins the first while he is playing the violin. Finally, the video ends with the boy knocking on a door and handing a stuffed animal to a girl."
v_Xmp_twSbkAg,What is the girl wearing and what is on her study table?,"The girl is wearing a black T-shirt and a pink full-sleeve top. There is a photo, some books, and a stuffed toy on her study table."
v_0BtHd6dvm78,Can you describe the video in detail?,"In the video, a man wearing glasses and a white hoodie is seen standing in front of a sink washing dishes. He is in a kitchen surrounded by cupboards and other kitchen implements including a coffee machine. A microwave is mounted on the kitchen cupboard and there is sunlight streaming through a window in front of him. A potted plant can also be seen on the window sill. He is washing a tea strainer and talking to the cameraman, laughing and joking while doing so."
v_PNuJUYo3Hf8,Can you describe the video in detail?,"The video begins with a man, who is wearing a blue wetsuit and a beanie, inside a boat picking up and speaking through a handheld radio. We then see a group of sailors preparing for a race on a foiling catamaran with red bull branding, followed by a show of several catamarans with different brand names painted on them sailing in low light and foggy weather conditions. The video then transitions to a montage of the sailors of the red bull branded catamaran working out, followed by a montage of several boats sailing fast through the water. An aerial view of the starting line of a foil racing competition where several catamarans line up is shown, with several observer boats sailing around. The race, which takes place during the day, starts and several shots from the onboard cameras of the red bull boat are shown, including aerial shots of the race. Finally, we see the team with the red bull branding catamaran winning the race."
v_YAMhMB1jdio,Can you describe the video in detail?,"The video takes place in a well-lit barbershop with white walls and a dark brown wooden door with a broom hanging on the side. A woman, wearing a white coat, grey top, black trousers, and a white mask, is giving a haircut to a customer by combing and cutting his hair with scissors. There is another customer on the left side getting a haircut from another woman, and both customers are wearing white cloth capes. Mirrors are present in front of the customers. Behind the customers, there is a whiteboard mounted on a wooden railing with some text on it. The video ends with a man giving a haircut to a customer. Overall, the video gives a clear view of barbershop activities such as hair cutting and styling."
v_QN-4aLiDhiQ,What is the girl wearing in the video?,The girl is wearing a blue shirt over a light blue top.
v_UNXLfqkwKFc,What is the man wearing and what is he doing in the video?,The man is wearing blue shorts and he is vacuuming the dust off the floor.
