video_name,question,answer
v_d09u-0k3LdE,Can you describe the sequence of events in the video?,"The video begins with the woman in a red vest standing in a net, holding a hammer attached to a string in a field with a red mat. She swings with the string and spins a few times before releasing the hammer through the open end of the netting. The video ends with the woman walking off to the side."
v_325CAs4hhq8,What is the order of events captured in the video?,"The video starts on a hockey field with players wearing orange uniforms playing field hockey. In the next clip, several players are visible on the field, leaning forward and waiting for a player to hit the ball. In the next clip, several girls from other teams are introduced, and individual players are speaking into the camera. In the next clip, a coach is instructing players. The next few clips are of players on the field standing and being instructed, and individual players being interviewed. A still photo of a team is shown, followed by a play of the game as players are on the field chasing a ball. Two teams are visible. As the clip of the game is being played, a coach is speaking into the camera. The video ends with a goal in the game by a player in an orange uniform."
v_p07Y--q4JQw,In what order was the clear solution applied to the woman's fingers?,The man started applying the solution on one finger after another until he completed all the fingers of the woman.
v_KvtqF0LaWU0,What is the order of events in the video?,"The video starts with a credit roll, followed by a clip showing a girl in a red outfit struggling to open a jar while standing behind a black stone kitchen counter. A wooden cutting board and a steel bowl can be seen on the counter, and a chrome-colored fridge and ovens are visible in the back. In the next clip, a woman wearing a sweater joins the girl at the counter, and the girl holds up different ingredients to the camera. The girl then prepares the ingredients by chopping cherry tomatoes and squeezing basil paste from a tube into the bowl. She then sprinkles some contents from a bottle into the bowl. In the next clip, a man wearing a white shirt tastes the mixture with a spoon and speaks to the camera. Finally, the video ends with a list of ingredients."
v_UGWOtDmIcns,What happens to the man rock climbing in the video?,"The man wearing dark blue jeans and black & red shoes, rock climbs up the wall by putting both his hands in the crack of the rock walls for support and climbing with his legs. However, his fingers get stuck into the crack of the rock wall and he falls down as he reaches almost to the top of the wall."
v_-vnSFKJNB94,What are some diving maneuvers that Michal Navratil performs in the video?,"In the video, Michal Navratil performs a range of diving maneuvers including tucks, twists, and forward dives. He does various flips from the diving board, showcasing his skills and control in the air. The video ends with him performing a forward tuck dive."
v_8L1UjGLOCeI,What did the woman do after she completed the hopscotch pass?,"After completing the hopscotch pass, the woman turned around and hopped back to the spot she started from before opening the closed door behind her. She then turned to the camera and held her hands to the side."
v_QOsG3BeQeX0,What is the sequence of events in the video related to the man swinging from the parallel bars?,The man is swinging back and forth from the bottom of the parallel bars while upside down. He then rightens himself and goes back to the previous position.
v_X4J9UBXb0FM,Can you describe the temporal sequence of events in the video?,"Yes, the video starts with a slow-motion shot of a man starting his run at a pole vaulting competition during the daytime. The first athlete is wearing a vest and black shorts. He then vaults over the bar. The next clip shows an athlete wearing a blue vest and shorts pole vaulting over a bar in a competition held during the night. The field is lit by floodlights. Following this, an athlete wearing an orange vest and shorts is also shown pole vaulting over a bar. The video continues with various athletes involved in pole vaulting competitions held both during the day and night. Finally, the video ends with athletes standing on medal podiums wearing wreaths."
v_b4xvXZq5uD8,What events occur during the man's haircut?,"The video shows the boy starting the haircut by running a trimmer through the middle of the man's head, with other people walking in and out of the shot behind him. Another individual takes the trimmer from the boy and starts trimming the hair of the man. As the man's haircut ends, a man wearing a black coat brings out a chocolate cake, and the others sing. Finally, an image of the man's face smeared with chocolate cake is shown at the end of the video."
v_rpjxjU-mLiw,What does the man in the teal T-shirt do after he finishes his discus throw?,"After the man in the teal T-shirt finishes his discus throw, he walks towards the camera and claps his hands."
